"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Akamas","22.9","23.7","21.6","78.0","4.2","265.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 00:00:00"
"Akamas","21.5","23.7","21.1","89.0","5.1","277.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 01:00:00"
"Akamas","22.2","23.7","20.9","65.0","5.0","331.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 02:00:00"
"Akamas","22.5","23.7","20.9","71.0","3.5","278.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 03:00:00"
"Akamas","21.4","23.7","20.9","81.0","3.2","259.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 04:00:00"
"Akamas","21.1","23.7","20.9","89.0","3.3","266.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 05:00:00"
"Akamas","21.3","23.7","20.9","93.0","4.9","229.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 06:00:00"
"Akamas","21.7","23.7","20.9","94.0","4.9","212.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 07:00:00"
"Akamas","22.6","23.7","20.9","90.0","7.7","215.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 08:00:00"
"Akamas","24.9","25.1","20.9","78.0","5.6","207.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 09:00:00"
"Akamas","26.6","26.8","20.9","72.0","3.5","184.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 10:00:00"
"Akamas","27.5","27.5","20.9","67.0","6.3","220.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 11:00:00"
"Akamas","27.9","28.2","20.9","66.0","5.4","210.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 12:00:00"
"Akamas","28.2","28.4","20.9","65.0","7.0","217.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 13:00:00"
"Akamas","27.7","28.7","20.9","66.0","11.4","211.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 14:00:00"
"Akamas","27.8","28.7","20.9","65.0","12.0","219.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 15:00:00"
"Akamas","27.3","28.7","20.9","65.0","12.5","223.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 16:00:00"
"Akamas","26.7","28.7","20.9","67.0","12.6","214.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 17:00:00"
"Akamas","25.6","28.7","20.9","72.0","10.1","212.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 18:00:00"
"Akamas","24.3","28.7","20.9","78.0","8.5","221.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 19:00:00"
"Akamas","22.3","28.7","20.9","88.0","7.4","215.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 20:00:00"
"Akamas","21.5","21.5","21.5","92.0","6.0","218.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 21:00:00"
"Akamas","21.3","21.5","21.2","93.0","5.2","223.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 22:00:00"
"Akamas","21.1","21.5","21.1","94.0","4.9","225.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","01/07/2023 23:00:00"
"Akamas","21.0","21.5","21.0","95.0","4.6","236.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 00:00:00"
"Akamas","20.8","21.5","20.8","95.0","2.5","243.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 01:00:00"
"Akamas","20.7","21.5","20.7","95.0","4.5","225.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 02:00:00"
"Akamas","20.7","21.5","20.7","96.0","4.2","237.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 03:00:00"
"Akamas","17.8","21.5","17.6","93.0","2.9","253.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 04:00:00"
"Akamas","23.1","23.2","17.6","45.0","5.8","289.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 05:00:00"
"Akamas","21.4","23.2","17.6","88.0","3.3","230.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 06:00:00"
"Akamas","21.3","23.2","17.6","93.0","1.6","206.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 07:00:00"
"Akamas","23.6","24.0","17.6","82.0","0.6","111.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 08:00:00"
"Akamas","27.1","27.3","17.6","68.0","2.4","214.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 09:00:00"
"Akamas","26.3","27.3","17.6","73.0","6.7","207.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 10:00:00"
"Akamas","27.2","27.4","17.6","69.0","8.1","214.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 11:00:00"
"Akamas","27.3","27.5","17.6","67.0","11.4","211.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 12:00:00"
"Akamas","28.0","28.1","17.6","67.0","9.3","215.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 13:00:00"
"Akamas","27.9","28.2","17.6","67.0","12.4","219.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 14:00:00"
"Akamas","27.9","28.2","17.6","65.0","12.8","210.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 15:00:00"
"Akamas","26.6","28.2","17.6","73.0","14.6","210.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 16:00:00"
"Akamas","25.8","28.2","17.6","75.0","13.2","218.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 17:00:00"
"Akamas","25.6","28.2","17.6","76.0","11.9","214.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 18:00:00"
"Akamas","24.4","28.2","17.6","79.0","12.7","214.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 19:00:00"
"Akamas","22.5","28.2","17.6","91.0","12.8","214.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 20:00:00"
"Akamas","22.0","22.0","22.0","93.0","12.3","218.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 21:00:00"
"Akamas","21.9","22.1","21.9","94.0","11.5","215.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 22:00:00"
"Akamas","21.8","22.1","21.7","95.0","7.5","230.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","02/07/2023 23:00:00"
"Akamas","21.6","22.1","21.6","96.0","6.9","237.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","03/07/2023 00:00:00"
"Akamas","21.2","22.1","21.1","96.0","4.9","212.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","03/07/2023 01:00:00"
"Akamas","21.2","22.1","17.6","59.0","3.1","312.0","100.0","100.0","100.0","0.0","","35.025974","32.328942","","03/07/2023 02:00:00"
