"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Avdimou","42.1","28.8","14.6","64.0","3.6","129.0","","","","0.0","","34.684372","32.757369","","11/06/2025 11:00:00"
"Avdimou","28.4","29.0","14.6","66.0","1.8","177.0","","","","0.0","","34.684372","32.757369","","11/06/2025 12:00:00"
"Avdimou","29.0","29.5","14.6","64.0","2.5","130.0","","","","0.0","","34.684372","32.757369","","11/06/2025 13:00:00"
"Avdimou","29.7","30.0","14.6","61.0","2.3","107.0","","","","0.0","","34.684372","32.757369","","11/06/2025 14:00:00"
"Avdimou","29.9","30.3","14.6","59.0","2.2","149.0","","","","0.0","","34.684372","32.757369","","11/06/2025 15:00:00"
"Avdimou","30.4","30.9","14.6","55.0","2.8","114.0","","","","0.0","","34.684372","32.757369","","11/06/2025 16:00:00"
"Avdimou","31.5","31.9","14.6","55.0","1.1","210.0","","","","0.0","","34.684372","32.757369","","11/06/2025 17:00:00"
"Avdimou","30.2","32.0","14.6","60.0","1.3","219.0","","","","0.0","","34.684372","32.757369","","11/06/2025 18:00:00"
"Avdimou","28.3","32.0","14.6","67.0","1.8","210.0","","","","0.0","","34.684372","32.757369","","11/06/2025 19:00:00"
"Avdimou","27.4","32.0","14.6","69.0","0.6","243.0","","","","0.0","","34.684372","32.757369","","11/06/2025 20:00:00"
"Avdimou","24.5","24.5","24.4","76.0","0.0","270.0","","","","0.0","","34.684372","32.757369","","11/06/2025 21:00:00"
"Avdimou","22.3","24.5","22.2","82.0","0.1","352.0","","","","0.0","","34.684372","32.757369","","11/06/2025 22:00:00"
"Avdimou","21.2","24.5","21.0","82.0","0.6","309.0","","","","0.0","","34.684372","32.757369","","11/06/2025 23:00:00"
"Avdimou","20.1","24.5","19.9","84.0","0.1","322.0","","","","0.0","","34.684372","32.757369","","12/06/2025 00:00:00"
"Avdimou","19.2","24.5","19.0","85.0","0.5","354.0","","","","0.0","","34.684372","32.757369","","12/06/2025 01:00:00"
"Avdimou","18.3","24.5","18.2","83.0","0.0","353.0","","","","0.0","","34.684372","32.757369","","12/06/2025 02:00:00"
"Avdimou","18.0","24.5","17.8","84.0","0.6","347.0","","","","0.0","","34.684372","32.757369","","12/06/2025 03:00:00"
"Avdimou","17.8","24.5","17.4","87.0","0.5","330.0","","","","0.0","","34.684372","32.757369","","12/06/2025 04:00:00"
"Avdimou","17.5","24.5","17.2","87.0","0.4","328.0","","","","0.0","","34.684372","32.757369","","12/06/2025 05:00:00"
"Avdimou","17.2","24.5","16.7","86.0","0.6","323.0","","","","0.0","","34.684372","32.757369","","12/06/2025 06:00:00"
"Avdimou","18.7","24.5","16.7","86.0","0.0","287.0","","","","0.0","","34.684372","32.757369","","12/06/2025 07:00:00"
"Avdimou","25.6","25.7","16.7","71.0","1.2","134.0","","","","0.0","","34.684372","32.757369","","12/06/2025 08:00:00"
"Avdimou","27.5","28.1","16.7","73.0","2.2","94.0","","","","0.0","","34.684372","32.757369","","12/06/2025 09:00:00"
"Avdimou","27.7","28.1","16.7","70.0","2.6","89.0","","","","0.0","","34.684372","32.757369","","12/06/2025 10:00:00"
"Avdimou","28.2","28.7","16.7","70.0","2.4","122.0","","","","0.0","","34.684372","32.757369","","12/06/2025 11:00:00"
"Avdimou","28.7","29.0","16.7","67.0","2.3","146.0","","","","0.0","","34.684372","32.757369","","12/06/2025 12:00:00"
"Avdimou","29.3","29.8","16.7","66.0","2.3","134.0","","","","0.0","","34.684372","32.757369","","12/06/2025 13:00:00"
"Avdimou","30.2","30.7","16.7","61.0","2.3","154.0","","","","0.0","","34.684372","32.757369","","12/06/2025 14:00:00"
"Avdimou","32.5","32.8","16.7","49.0","2.1","157.0","","","","0.0","","34.684372","32.757369","","12/06/2025 15:00:00"
"Avdimou","33.7","34.1","16.7","41.0","1.3","259.0","","","","0.0","","34.684372","32.757369","","12/06/2025 16:00:00"
"Avdimou","33.3","34.1","16.7","38.0","1.5","206.0","","","","0.0","","34.684372","32.757369","","12/06/2025 17:00:00"
"Avdimou","32.0","34.1","16.7","51.0","1.8","206.0","","","","0.0","","34.684372","32.757369","","12/06/2025 18:00:00"
"Avdimou","29.8","34.1","16.7","60.0","1.4","238.0","","","","0.0","","34.684372","32.757369","","12/06/2025 19:00:00"
"Avdimou","28.2","34.1","16.7","64.0","0.7","252.0","","","","0.0","","34.684372","32.757369","","12/06/2025 20:00:00"
"Avdimou","27.2","27.2","27.1","71.0","0.9","253.0","","","","0.0","","34.684372","32.757369","","12/06/2025 21:00:00"
"Avdimou","24.9","27.2","24.8","73.0","0.2","275.0","","","","0.0","","34.684372","32.757369","","12/06/2025 22:00:00"
"Avdimou","23.6","27.2","23.1","77.0","0.8","309.0","","","","0.0","","34.684372","32.757369","","12/06/2025 23:00:00"
"Avdimou","23.2","27.2","23.0","73.0","0.9","315.0","","","","0.0","","34.684372","32.757369","","13/06/2025 00:00:00"
"Avdimou","21.4","27.2","21.3","69.0","0.4","276.0","","","","0.0","","34.684372","32.757369","","13/06/2025 01:00:00"
"Avdimou","20.1","27.2","20.0","66.0","0.5","309.0","","","","0.0","","34.684372","32.757369","","13/06/2025 02:00:00"
