"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Kathikas","23.3","23.4","22.4","46.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 00:00:00"
"Kathikas","22.7","23.4","22.4","45.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 01:00:00"
"Kathikas","23.3","23.4","22.4","40.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 02:00:00"
"Kathikas","23.3","23.4","22.4","35.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 03:00:00"
"Kathikas","24.0","24.1","22.4","33.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 04:00:00"
"Kathikas","24.2","24.5","22.4","39.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 05:00:00"
"Kathikas","22.4","24.5","21.9","41.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 06:00:00"
"Kathikas","23.0","24.5","21.9","49.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 07:00:00"
"Kathikas","27.8","28.0","21.9","44.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 08:00:00"
"Kathikas","26.2","28.8","21.9","65.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 09:00:00"
"Kathikas","27.5","28.8","21.9","65.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 10:00:00"
"Kathikas","28.2","28.8","21.9","61.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 11:00:00"
"Kathikas","27.9","28.8","21.9","63.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 12:00:00"
"Kathikas","28.3","28.8","21.9","61.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 13:00:00"
"Kathikas","28.7","28.8","21.9","57.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 14:00:00"
"Kathikas","27.7","29.4","21.9","63.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 15:00:00"
"Kathikas","28.0","29.4","21.9","59.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 16:00:00"
"Kathikas","28.1","29.4","21.9","57.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 17:00:00"
"Kathikas","27.7","29.4","21.9","61.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 18:00:00"
"Kathikas","26.9","29.4","21.9","63.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 19:00:00"
"Kathikas","23.9","29.4","21.9","77.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 20:00:00"
"Kathikas","21.0","20.9","20.9","89.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 21:00:00"
"Kathikas","21.6","22.5","20.4","73.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 22:00:00"
"Kathikas","21.1","22.5","20.4","78.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","01/07/2023 23:00:00"
"Kathikas","21.6","22.5","20.4","80.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 00:00:00"
"Kathikas","22.7","23.8","20.4","68.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 01:00:00"
"Kathikas","21.3","23.8","20.4","77.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 02:00:00"
"Kathikas","21.6","23.8","20.4","74.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 03:00:00"
"Kathikas","21.3","23.8","20.4","78.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 04:00:00"
"Kathikas","22.3","23.8","20.4","51.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 05:00:00"
"Kathikas","21.6","23.8","20.4","61.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 06:00:00"
"Kathikas","22.3","23.8","20.4","47.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 07:00:00"
"Kathikas","28.1","28.5","20.4","46.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 08:00:00"
"Kathikas","27.9","29.3","20.4","50.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 09:00:00"
"Kathikas","26.7","29.3","20.4","66.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 10:00:00"
"Kathikas","27.8","29.3","20.4","65.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 11:00:00"
"Kathikas","27.0","29.3","20.4","65.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 12:00:00"
"Kathikas","28.0","29.3","20.4","62.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 13:00:00"
"Kathikas","27.9","29.3","20.4","62.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 14:00:00"
"Kathikas","28.2","29.3","20.4","56.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 15:00:00"
"Kathikas","29.2","29.4","20.4","58.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 16:00:00"
"Kathikas","28.3","29.4","20.4","65.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 17:00:00"
"Kathikas","28.7","29.4","20.4","60.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 18:00:00"
"Kathikas","27.6","29.4","20.4","49.0","","","100.0","100.0","100.0","0.0","0.0","34.914097","32.412314","","02/07/2023 19:00:00"
