"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Kato Pyrgos","27.4","27.8","17.4","59.0","4.4","357.0","","","","0.0","","35.181564","32.687097","","11/06/2025 11:00:00"
"Kato Pyrgos","27.8","28.4","17.4","69.0","2.1","354.0","","","","0.0","","35.181564","32.687097","","11/06/2025 12:00:00"
"Kato Pyrgos","27.8","28.4","17.4","71.0","3.2","340.0","","","","0.0","","35.181564","32.687097","","11/06/2025 13:00:00"
"Kato Pyrgos","28.4","28.6","17.4","68.0","3.4","326.0","","","","0.0","","35.181564","32.687097","","11/06/2025 14:00:00"
"Kato Pyrgos","28.4","28.9","17.4","71.0","3.3","334.0","","","","0.0","","35.181564","32.687097","","11/06/2025 15:00:00"
"Kato Pyrgos","28.2","28.9","17.4","71.0","2.8","327.0","","","","0.0","","35.181564","32.687097","","11/06/2025 16:00:00"
"Kato Pyrgos","28.4","28.9","17.4","67.0","2.0","331.0","","","","0.0","","35.181564","32.687097","","11/06/2025 17:00:00"
"Kato Pyrgos","27.5","28.9","17.4","72.0","2.5","332.0","","","","0.0","","35.181564","32.687097","","11/06/2025 18:00:00"
"Kato Pyrgos","26.9","28.9","17.4","76.0","1.9","323.0","","","","0.0","","35.181564","32.687097","","11/06/2025 19:00:00"
"Kato Pyrgos","26.1","28.9","17.4","80.0","0.9","300.0","","","","0.0","","35.181564","32.687097","","11/06/2025 20:00:00"
"Kato Pyrgos","24.2","24.2","24.1","83.0","0.4","144.0","","","","0.0","","35.181564","32.687097","","11/06/2025 21:00:00"
"Kato Pyrgos","22.7","24.2","22.7","87.0","1.1","166.0","","","","0.0","","35.181564","32.687097","","11/06/2025 22:00:00"
