"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Limassol","23.3","24.7","23.2","89.0","0.0","20.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 00:00:00"
"Limassol","23.4","24.7","23.2","86.0","1.3","348.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 01:00:00"
"Limassol","23.6","24.7","23.1","90.0","3.8","96.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 02:00:00"
"Limassol","23.3","24.7","23.1","93.0","4.9","107.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 03:00:00"
"Limassol","23.3","24.7","23.1","89.0","5.0","88.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 04:00:00"
"Limassol","21.5","24.7","21.4","73.0","3.7","25.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 05:00:00"
"Limassol","23.2","24.7","21.4","86.0","3.6","85.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 06:00:00"
"Limassol","24.9","25.0","21.4","81.0","4.4","100.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 07:00:00"
"Limassol","26.4","26.5","21.4","75.0","4.7","111.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 08:00:00"
"Limassol","27.0","27.1","21.4","76.0","4.7","117.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 09:00:00"
"Limassol","26.9","27.4","21.4","78.0","6.3","135.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 10:00:00"
"Limassol","27.5","27.8","21.4","76.0","5.9","133.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 11:00:00"
"Limassol","28.2","28.8","21.4","74.0","6.0","120.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 12:00:00"
"Limassol","28.4","28.8","21.4","74.0","6.5","141.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 13:00:00"
"Limassol","27.7","28.8","21.4","77.0","7.1","166.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 14:00:00"
"Limassol","28.8","29.4","21.4","69.0","7.1","167.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 15:00:00"
"Limassol","30.8","31.4","21.4","60.0","6.0","260.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 16:00:00"
"Limassol","30.3","31.4","21.4","59.0","6.7","305.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 17:00:00"
"Limassol","28.8","31.4","21.4","63.0","8.5","298.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 18:00:00"
"Limassol","27.0","31.4","21.4","71.0","8.2","293.0","100.0","100.0","100.0","0.0","","34.645719","33.003984","","01/07/2023 19:00:00"
