"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Paphos Airport","24.9","","","74.0","8.7","315.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 00:00:00"
"Paphos Airport","24.4","","","70.0","5.3","340.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 01:00:00"
"Paphos Airport","24.5","","","77.0","4.2","359.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 02:00:00"
"Paphos Airport","24.0","","","83.0","5.2","359.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 03:00:00"
"Paphos Airport","22.3","","","68.0","6.3","41.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 04:00:00"
"Paphos Airport","21.9","","","60.0","6.4","41.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 05:00:00"
"Paphos Airport","21.6","","","58.0","6.1","30.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 06:00:00"
"Paphos Airport","23.7","","","55.0","5.4","32.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 07:00:00"
"Paphos Airport","27.0","","","50.0","2.8","115.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 08:00:00"
"Paphos Airport","26.4","","","68.0","2.0","188.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 09:00:00"
"Paphos Airport","27.7","","","73.0","4.0","220.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 10:00:00"
"Paphos Airport","28.5","","","70.0","5.3","231.0","100.0","100.0","100.0","0.0","","34.715442","32.479072","","01/07/2023 11:00:00"
