"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Paphos","25.2","26.3","25.2","68.0","1.7","310.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 00:00:00"
"Paphos","24.5","26.3","24.5","78.0","2.8","330.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 01:00:00"
"Paphos","24.0","26.3","24.0","85.0","1.9","353.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 02:00:00"
"Paphos","23.7","26.3","22.9","87.0","2.1","337.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 03:00:00"
"Paphos","22.1","26.3","22.1","80.0","1.5","26.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 04:00:00"
"Paphos","22.2","26.3","21.8","79.0","2.2","39.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 05:00:00"
"Paphos","21.7","26.3","21.7","64.0","3.0","30.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 06:00:00"
"Paphos","23.5","26.3","21.7","62.0","1.2","33.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 07:00:00"
"Paphos","27.2","27.6","21.7","72.0","1.2","186.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 08:00:00"
"Paphos","29.1","29.2","21.7","56.0","2.2","213.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 09:00:00"
"Paphos","29.3","29.4","21.7","62.0","2.3","174.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 10:00:00"
"Paphos","29.7","30.4","21.7","63.0","4.3","222.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 11:00:00"
"Paphos","30.1","30.8","21.7","62.0","3.8","224.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 12:00:00"
"Paphos","29.8","30.8","21.7","62.0","3.6","242.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 13:00:00"
"Paphos","30.8","30.9","21.7","59.0","2.9","216.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 14:00:00"
"Paphos","31.4","31.7","21.7","54.0","3.0","231.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 15:00:00"
"Paphos","30.6","31.7","21.7","53.0","3.7","227.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 16:00:00"
"Paphos","30.0","31.7","21.7","61.0","2.7","248.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 17:00:00"
"Paphos","29.2","31.7","21.7","64.0","2.5","263.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 18:00:00"
"Paphos","26.8","31.7","21.7","72.0","2.2","281.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 19:00:00"
"Paphos","25.9","31.7","21.7","76.0","1.9","265.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 20:00:00"
"Paphos","25.3","25.3","25.3","78.0","2.7","271.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 21:00:00"
"Paphos","25.0","25.3","25.0","79.0","1.9","293.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 22:00:00"
"Paphos","24.7","25.3","24.6","81.0","1.6","311.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","01/07/2023 23:00:00"
"Paphos","24.4","25.3","24.4","82.0","3.4","329.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 00:00:00"
"Paphos","23.9","25.3","23.9","84.0","2.1","1.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 01:00:00"
"Paphos","23.5","25.3","23.4","84.0","1.7","13.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 02:00:00"
"Paphos","22.8","25.3","22.7","84.0","2.2","31.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 03:00:00"
"Paphos","22.5","25.3","22.4","84.0","1.4","54.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 04:00:00"
"Paphos","21.5","25.3","21.5","78.0","2.0","43.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 05:00:00"
"Paphos","21.5","25.3","21.2","79.0","1.5","18.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 06:00:00"
"Paphos","23.2","25.3","21.2","70.0","1.7","39.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 07:00:00"
"Paphos","26.1","26.1","21.2","76.0","1.1","268.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 08:00:00"
"Paphos","28.6","28.8","21.2","65.0","1.7","178.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 09:00:00"
"Paphos","28.3","29.2","21.2","67.0","1.8","211.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 10:00:00"
"Paphos","29.3","29.5","21.2","63.0","2.7","215.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 11:00:00"
"Paphos","29.8","30.0","21.2","63.0","3.6","239.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 12:00:00"
"Paphos","30.2","31.0","21.2","60.0","3.3","215.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 13:00:00"
"Paphos","30.2","31.0","21.2","63.0","2.9","252.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 14:00:00"
"Paphos","30.4","31.0","21.2","61.0","3.3","264.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 15:00:00"
"Paphos","30.5","31.0","21.2","62.0","2.6","268.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 16:00:00"
"Paphos","29.8","31.0","21.2","64.0","3.9","253.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 17:00:00"
"Paphos","29.3","31.0","21.2","66.0","3.3","273.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 18:00:00"
"Paphos","27.4","31.0","21.2","72.0","3.5","284.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 19:00:00"
"Paphos","26.2","31.0","21.2","78.0","3.3","285.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 20:00:00"
"Paphos","25.5","25.5","25.5","81.0","3.2","299.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 21:00:00"
"Paphos","25.1","25.6","25.1","83.0","2.8","327.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 22:00:00"
"Paphos","24.8","25.6","24.8","82.0","2.7","311.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","02/07/2023 23:00:00"
"Paphos","24.3","25.6","24.3","84.0","2.4","337.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 00:00:00"
"Paphos","23.9","25.6","23.9","84.0","2.7","342.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 01:00:00"
"Paphos","23.6","25.6","23.6","84.0","2.1","341.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 02:00:00"
"Paphos","23.3","25.6","23.3","81.0","2.0","348.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 03:00:00"
"Paphos","22.0","25.6","21.9","75.0","1.4","20.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 04:00:00"
"Paphos","21.7","25.6","21.6","68.0","2.0","28.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 05:00:00"
"Paphos","21.4","25.6","20.8","54.0","2.7","34.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 06:00:00"
"Paphos","23.2","25.6","20.8","43.0","1.9","21.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 07:00:00"
"Paphos","28.6","28.8","20.8","40.0","0.6","151.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 08:00:00"
"Paphos","28.7","29.3","20.8","62.0","1.5","223.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 09:00:00"
"Paphos","29.6","29.8","20.8","60.0","2.1","245.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 10:00:00"
"Paphos","30.4","30.5","20.8","58.0","3.2","262.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 11:00:00"
"Paphos","30.3","30.7","20.8","55.0","3.8","279.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 12:00:00"
"Paphos","30.8","31.3","20.8","55.0","3.2","255.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 13:00:00"
"Paphos","30.4","31.3","20.8","61.0","4.1","261.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 14:00:00"
"Paphos","31.1","31.4","20.8","56.0","4.8","273.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 15:00:00"
"Paphos","31.5","31.6","20.8","49.0","4.6","272.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 16:00:00"
"Paphos","30.8","31.9","20.8","53.0","4.7","294.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 17:00:00"
"Paphos","30.2","31.9","20.8","53.0","4.0","276.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 18:00:00"
"Paphos","28.2","31.9","20.8","62.0","3.0","287.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 19:00:00"
"Paphos","26.8","31.9","20.8","72.0","3.8","310.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 20:00:00"
"Paphos","25.9","25.9","25.9","79.0","3.5","324.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 21:00:00"
"Paphos","25.5","25.9","25.5","81.0","3.0","327.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 22:00:00"
"Paphos","25.2","25.9","25.2","82.0","1.8","314.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","03/07/2023 23:00:00"
"Paphos","24.9","25.9","24.9","79.0","3.4","317.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 00:00:00"
"Paphos","24.6","25.9","24.6","73.0","2.6","331.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 01:00:00"
"Paphos","24.2","25.9","24.2","69.0","2.1","323.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 02:00:00"
"Paphos","24.4","25.9","24.2","53.0","1.9","311.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 03:00:00"
"Paphos","23.3","25.9","23.2","47.0","2.1","87.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 04:00:00"
"Paphos","22.9","25.9","22.9","48.0","0.6","40.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 05:00:00"
"Paphos","23.1","25.9","22.7","46.0","1.9","28.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 06:00:00"
"Paphos","24.9","25.9","22.7","55.0","1.2","1.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 07:00:00"
"Paphos","27.1","27.3","22.7","71.0","1.8","287.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 08:00:00"
"Paphos","29.1","29.2","22.7","62.0","1.4","266.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 09:00:00"
"Paphos","30.1","30.2","22.7","60.0","2.3","280.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 10:00:00"
"Paphos","30.3","30.6","22.7","62.0","3.9","276.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 11:00:00"
"Paphos","30.3","30.6","22.7","63.0","4.1","267.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 12:00:00"
"Paphos","30.9","31.2","22.7","63.0","4.6","274.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 13:00:00"
"Paphos","31.0","31.2","22.7","61.0","3.4","260.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 14:00:00"
"Paphos","30.8","31.3","22.7","61.0","2.4","291.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 15:00:00"
"Paphos","30.5","31.3","22.7","62.0","3.5","288.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 16:00:00"
"Paphos","30.9","31.3","22.7","59.0","3.8","281.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 17:00:00"
"Paphos","29.4","31.3","22.7","65.0","4.4","285.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 18:00:00"
"Paphos","27.5","31.3","22.7","72.0","4.3","289.0","100.0","100.0","100.0","0.0","","34.779431","32.438547","","04/07/2023 19:00:00"
