"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Pentakomo","30.3","31.9","24.7","60.0","4.6","254.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 11:00:00"
"Pentakomo","31.5","31.9","24.7","50.0","6.0","249.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 12:00:00"
"Pentakomo","32.1","32.6","24.7","49.0","5.1","245.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 13:00:00"
"Pentakomo","32.9","33.9","24.7","46.0","5.2","242.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 14:00:00"
"Pentakomo","32.9","33.9","24.7","55.0","4.1","233.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 15:00:00"
"Pentakomo","33.0","33.9","24.7","46.0","6.2","234.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 16:00:00"
"Pentakomo","34.9","35.2","24.7","29.0","8.3","253.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 17:00:00"
"Pentakomo","32.0","35.2","24.7","54.0","4.9","251.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 18:00:00"
"Pentakomo","33.3","35.2","24.7","32.0","6.6","259.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 19:00:00"
"Pentakomo","31.6","35.2","24.7","30.0","4.5","287.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 20:00:00"
"Pentakomo","31.0","31.1","31.0","27.0","4.8","277.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 21:00:00"
"Pentakomo","28.5","31.1","28.3","47.0","4.5","280.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","13/07/2023 22:00:00"
"Pentakomo","25.1","31.1","24.1","67.0","0.0","240.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 00:00:00"
"Pentakomo","26.7","31.1","24.1","45.0","0.5","278.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 01:00:00"
"Pentakomo","26.2","31.1","24.1","41.0","0.0","62.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 02:00:00"
"Pentakomo","26.9","31.1","24.1","31.0","1.6","274.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 03:00:00"
"Pentakomo","27.8","31.1","24.1","27.0","2.4","293.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 04:00:00"
"Pentakomo","26.4","31.1","24.1","36.0","6.9","31.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 05:00:00"
"Pentakomo","26.6","31.1","24.1","34.0","4.5","61.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 06:00:00"
"Pentakomo","30.1","31.1","24.1","24.0","6.4","42.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 07:00:00"
"Pentakomo","32.9","33.3","24.1","31.0","4.2","81.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 08:00:00"
"Pentakomo","33.5","34.4","24.1","38.0","3.3","85.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 09:00:00"
"Pentakomo","31.8","34.4","24.1","51.0","3.7","105.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 10:00:00"
"Pentakomo","32.2","34.4","24.1","54.0","2.8","122.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 11:00:00"
"Pentakomo","32.5","34.4","24.1","57.0","2.5","193.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 12:00:00"
"Pentakomo","33.7","34.4","24.1","47.0","3.0","202.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 13:00:00"
"Pentakomo","33.1","34.4","24.1","52.0","4.4","228.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 14:00:00"
"Pentakomo","32.4","34.4","24.1","67.0","7.9","248.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 15:00:00"
"Pentakomo","33.0","34.4","24.1","56.0","5.2","246.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 16:00:00"
"Pentakomo","32.4","34.4","24.1","62.0","6.0","242.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 17:00:00"
"Pentakomo","31.7","34.4","24.1","63.0","10.4","257.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 18:00:00"
"Pentakomo","30.6","34.4","24.1","69.0","7.7","248.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 19:00:00"
"Pentakomo","29.3","34.4","24.1","70.0","8.2","274.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 20:00:00"
"Pentakomo","28.9","29.1","29.0","56.0","2.9","291.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 21:00:00"
"Pentakomo","27.9","29.2","27.6","61.0","0.7","321.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 22:00:00"
"Pentakomo","27.3","29.2","26.8","53.0","0.6","48.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","14/07/2023 23:00:00"
"Pentakomo","26.6","29.2","26.4","58.0","0.0","128.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 01:00:00"
"Pentakomo","27.2","29.2","26.3","57.0","0.5","10.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 02:00:00"
"Pentakomo","27.7","29.2","26.3","44.0","2.3","310.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 03:00:00"
"Pentakomo","27.2","29.9","26.3","45.0","1.1","73.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 04:00:00"
"Pentakomo","28.6","29.9","26.3","32.0","0.0","79.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 05:00:00"
"Pentakomo","26.8","29.9","26.3","32.0","8.2","46.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 06:00:00"
"Pentakomo","31.0","31.2","26.3","30.0","7.8","36.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 07:00:00"
"Pentakomo","33.3","33.8","26.3","36.0","5.4","69.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 08:00:00"
"Pentakomo","32.0","33.8","26.3","56.0","4.7","87.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 09:00:00"
"Pentakomo","30.4","33.8","26.3","73.0","3.6","107.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 10:00:00"
"Pentakomo","30.9","33.8","26.3","72.0","1.9","171.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 11:00:00"
"Pentakomo","31.7","33.8","26.3","69.0","2.6","209.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 12:00:00"
"Pentakomo","32.2","33.8","26.3","62.0","6.4","244.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 13:00:00"
"Pentakomo","33.4","33.8","26.3","47.0","6.4","249.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 14:00:00"
"Pentakomo","33.0","33.8","26.3","50.0","5.7","247.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 15:00:00"
"Pentakomo","33.3","33.9","26.3","48.0","7.5","253.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 16:00:00"
"Pentakomo","33.9","34.3","26.3","41.0","9.7","252.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 17:00:00"
"Pentakomo","33.2","34.4","26.3","42.0","9.1","254.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 18:00:00"
"Pentakomo","32.7","34.4","26.3","43.0","7.5","261.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","15/07/2023 19:00:00"
"Pentakomo","28.3","31.3","28.0","61.0","3.9","268.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","16/07/2023 00:00:00"
"Pentakomo","34.0","34.9","27.3","21.0","7.3","353.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","16/07/2023 02:00:00"
"Pentakomo","36.9","37.1","27.3","18.0","12.1","358.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","16/07/2023 03:00:00"
"Pentakomo","36.8","37.1","27.3","18.0","14.3","1.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","16/07/2023 04:00:00"
"Pentakomo","36.4","37.1","27.3","18.0","12.0","357.0","100.0","100.0","100.0","0.0","","34.707635","33.261697","","16/07/2023 05:00:00"
