"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Polis","23.7","26.4","23.2","77.0","5.9","152.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 00:00:00"
"Polis","23.3","26.4","23.2","69.0","5.0","156.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 01:00:00"
"Polis","22.6","26.4","22.6","64.0","4.5","155.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 02:00:00"
"Polis","22.6","26.4","22.4","57.0","5.4","151.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 03:00:00"
"Polis","22.3","26.4","22.2","54.0","5.1","154.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 04:00:00"
"Polis","20.8","26.4","20.7","57.0","5.2","140.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 05:00:00"
"Polis","21.1","26.4","20.5","55.0","4.6","150.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 06:00:00"
"Polis","23.7","26.4","20.5","47.0","4.5","152.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 07:00:00"
"Polis","28.9","29.2","20.5","43.0","1.4","57.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 08:00:00"
"Polis","29.0","30.0","20.5","56.0","5.5","2.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 09:00:00"
"Polis","28.9","30.0","20.5","64.0","4.6","327.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 10:00:00"
"Polis","29.0","30.0","20.5","64.0","5.1","333.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 11:00:00"
"Polis","29.3","30.1","20.5","61.0","7.1","336.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 12:00:00"
"Polis","29.9","30.6","20.5","61.0","5.6","321.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 13:00:00"
"Polis","30.6","31.0","20.5","61.0","6.8","346.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 14:00:00"
"Polis","31.8","32.1","20.5","56.0","6.2","349.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 15:00:00"
"Polis","32.2","32.3","20.5","56.0","8.5","11.0","100.0","100.0","50.0","0.0","","35.041950","32.437228","","01/07/2023 16:00:00"
"Polis","31.9","32.3","20.5","56.0","7.4","4.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 17:00:00"
"Polis","30.5","32.3","20.5","59.0","7.6","8.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 18:00:00"
"Polis","29.9","32.3","20.5","63.0","4.6","68.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 19:00:00"
"Polis","27.4","32.3","20.5","70.0","5.8","31.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 20:00:00"
"Polis","25.9","25.9","25.9","76.0","2.5","3.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 21:00:00"
"Polis","25.5","26.0","25.5","77.0","2.2","337.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 22:00:00"
"Polis","24.4","26.0","24.3","79.0","1.6","88.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","01/07/2023 23:00:00"
"Polis","23.9","26.0","23.8","80.0","0.8","112.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 00:00:00"
"Polis","23.1","26.0","23.1","80.0","3.1","141.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 01:00:00"
"Polis","22.5","26.0","22.5","82.0","4.4","145.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 02:00:00"
"Polis","22.4","26.0","22.3","80.0","2.5","151.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 03:00:00"
"Polis","22.0","26.0","21.8","81.0","4.0","150.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 04:00:00"
"Polis","21.2","26.0","21.1","81.0","5.7","135.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 05:00:00"
"Polis","21.3","26.0","21.0","76.0","5.5","149.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 06:00:00"
"Polis","23.5","26.0","21.0","70.0","2.1","154.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 07:00:00"
"Polis","27.7","27.9","21.0","64.0","0.0","124.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 08:00:00"
"Polis","28.4","28.8","21.0","63.0","4.2","335.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 09:00:00"
"Polis","28.0","28.8","21.0","69.0","5.1","344.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 10:00:00"
"Polis","28.7","29.1","21.0","67.0","5.3","350.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 11:00:00"
"Polis","30.1","30.4","21.0","62.0","7.8","17.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 12:00:00"
"Polis","29.6","30.9","21.0","67.0","9.8","13.0","100.0","100.0","100.0","0.0","","35.041950","32.437228","","02/07/2023 13:00:00"
