"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Tepak","25.2","25.7","25.1","80.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 00:00:00"
"Tepak","24.7","25.7","24.7","82.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 01:00:00"
"Tepak","24.1","25.7","24.1","86.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 02:00:00"
"Tepak","23.6","25.7","23.5","85.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 03:00:00"
"Tepak","23.8","25.7","23.5","83.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 04:00:00"
"Tepak","23.2","25.7","23.2","78.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 05:00:00"
"Tepak","23.5","25.7","23.2","83.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 06:00:00"
"Tepak","25.0","25.7","23.2","77.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 07:00:00"
"Tepak","26.6","26.8","23.2","73.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 08:00:00"
"Tepak","27.8","28.1","23.2","70.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 09:00:00"
"Tepak","27.9","28.1","23.2","71.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 10:00:00"
"Tepak","29.1","29.3","23.2","68.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 11:00:00"
"Tepak","30.0","30.1","23.2","64.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 12:00:00"
"Tepak","28.1","30.7","23.2","72.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 13:00:00"
"Tepak","30.1","30.7","23.2","62.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 14:00:00"
"Tepak","29.0","30.7","23.2","68.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 15:00:00"
"Tepak","30.7","31.0","23.2","60.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 16:00:00"
"Tepak","32.8","32.9","23.2","50.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 17:00:00"
"Tepak","31.8","33.0","23.2","51.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 18:00:00"
"Tepak","28.4","33.0","23.2","61.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 19:00:00"
"Tepak","26.2","33.0","23.2","72.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 20:00:00"
"Tepak","25.4","25.4","25.4","75.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 21:00:00"
"Tepak","25.0","25.4","25.0","75.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 22:00:00"
"Tepak","24.5","25.4","24.5","76.0","","","100.0","100.0","100.0","0.0","0.0","34.676960","33.037545","","01/07/2023 23:00:00"
