"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Xylophagou","25.2","24.5","23.6","79.0","5.4","324.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 00:00:00"
"Xylophagou","23.8","24.5","23.1","83.0","4.6","317.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 01:00:00"
"Xylophagou","21.2","24.5","22.0","87.0","2.6","283.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 02:00:00"
"Xylophagou","20.6","24.5","21.4","91.0","2.5","322.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 03:00:00"
"Xylophagou","21.4","24.5","21.4","93.0","3.1","315.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 04:00:00"
"Xylophagou","20.7","24.5","21.2","94.0","2.7","351.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 05:00:00"
"Xylophagou","21.5","24.5","21.0","95.0","1.9","339.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 06:00:00"
"Xylophagou","26.2","24.5","21.0","91.0","2.0","7.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 07:00:00"
"Xylophagou","31.3","27.8","21.0","75.0","3.6","92.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 08:00:00"
"Xylophagou","35.5","30.0","21.0","63.0","3.0","91.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 09:00:00"
"Xylophagou","32.2","30.7","21.0","70.0","6.8","200.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 10:00:00"
"Xylophagou","33.5","30.7","21.0","69.0","8.0","195.0","100.0","100.0","100.0","0.0","","34.977811","33.837989","","01/07/2023 11:00:00"
