"Node","Temperature (°C)","Max Temperature (°C)","Min Temperature (°C)","Humidity (%)","Wind Speed (Knots)","Wind Direction (Deg.)","Rec. Light Work Load (%)","Rec. Medium Work Load (%)","Rec. Heavy Work Load (%)","Rain (mm)","24HR Rain Total (mm)","Latitude","Longitude","Altitude","Timestamp"
"Zygi","32.1","27.0","17.0","70.0","4.9","160.0","","","","0.0","","34.741325","33.327100","","11/06/2025 11:00:00"
"Zygi","28.0","28.6","17.0","63.0","1.8","170.0","","","","0.0","","34.741325","33.327100","","11/06/2025 12:00:00"
"Zygi","29.1","29.5","17.0","58.0","2.2","207.0","","","","0.0","","34.741325","33.327100","","11/06/2025 13:00:00"
"Zygi","29.9","30.1","17.0","57.0","1.9","211.0","","","","0.0","","34.741325","33.327100","","11/06/2025 14:00:00"
"Zygi","29.6","30.1","17.0","60.0","1.8","224.0","","","","0.0","","34.741325","33.327100","","11/06/2025 15:00:00"
"Zygi","28.7","30.1","17.0","64.0","2.0","218.0","","","","0.0","","34.741325","33.327100","","11/06/2025 16:00:00"
"Zygi","29.0","30.1","17.0","63.0","1.3","217.0","","","","0.0","","34.741325","33.327100","","11/06/2025 17:00:00"
"Zygi","28.4","30.1","17.0","61.0","1.6","210.0","","","","0.0","","34.741325","33.327100","","11/06/2025 18:00:00"
"Zygi","27.0","30.1","17.0","68.0","0.9","241.0","","","","0.0","","34.741325","33.327100","","11/06/2025 19:00:00"
"Zygi","25.1","30.1","17.0","78.0","0.8","218.0","","","","0.0","","34.741325","33.327100","","11/06/2025 20:00:00"
"Zygi","24.0","23.9","23.9","81.0","0.2","227.0","","","","0.0","","34.741325","33.327100","","11/06/2025 21:00:00"
"Zygi","23.6","24.0","23.6","86.0","0.2","235.0","","","","0.0","","34.741325","33.327100","","11/06/2025 22:00:00"
"Zygi","21.3","24.0","21.3","86.0","0.2","278.0","","","","0.0","","34.741325","33.327100","","11/06/2025 23:00:00"
"Zygi","20.0","24.0","20.0","88.0","0.1","349.0","","","","0.0","","34.741325","33.327100","","12/06/2025 00:00:00"
"Zygi","19.6","24.0","19.4","89.0","0.3","289.0","","","","0.0","","34.741325","33.327100","","12/06/2025 01:00:00"
"Zygi","20.5","24.0","19.4","87.0","0.3","309.0","","","","0.0","","34.741325","33.327100","","12/06/2025 02:00:00"
"Zygi","19.6","24.0","19.1","85.0","0.1","318.0","","","","0.0","","34.741325","33.327100","","12/06/2025 03:00:00"
"Zygi","18.5","24.0","18.4","83.0","0.1","318.0","","","","0.0","","34.741325","33.327100","","12/06/2025 04:00:00"
"Zygi","17.9","24.0","17.8","86.0","0.2","327.0","","","","0.0","","34.741325","33.327100","","12/06/2025 05:00:00"
"Zygi","17.0","24.0","16.9","86.0","0.3","293.0","","","","0.0","","34.741325","33.327100","","12/06/2025 06:00:00"
"Zygi","19.9","24.0","16.9","82.0","0.2","330.0","","","","0.0","","34.741325","33.327100","","12/06/2025 07:00:00"
"Zygi","25.3","25.6","16.9","72.0","0.7","125.0","","","","0.0","","34.741325","33.327100","","12/06/2025 08:00:00"
"Zygi","25.8","26.0","16.9","74.0","0.9","152.0","","","","0.0","","34.741325","33.327100","","12/06/2025 09:00:00"
"Zygi","26.6","27.0","16.9","70.0","1.4","157.0","","","","0.0","","34.741325","33.327100","","12/06/2025 10:00:00"
"Zygi","26.6","27.0","16.9","73.0","1.7","153.0","","","","0.0","","34.741325","33.327100","","12/06/2025 11:00:00"
"Zygi","28.2","28.4","16.9","64.0","1.7","205.0","","","","0.0","","34.741325","33.327100","","12/06/2025 12:00:00"
"Zygi","28.9","29.6","16.9","61.0","1.4","219.0","","","","0.0","","34.741325","33.327100","","12/06/2025 13:00:00"
"Zygi","29.5","30.2","16.9","61.0","2.4","214.0","","","","0.0","","34.741325","33.327100","","12/06/2025 14:00:00"
"Zygi","29.3","30.2","16.9","60.0","2.0","214.0","","","","0.0","","34.741325","33.327100","","12/06/2025 15:00:00"
"Zygi","29.5","30.5","16.9","61.0","1.5","230.0","","","","0.0","","34.741325","33.327100","","12/06/2025 16:00:00"
"Zygi","29.4","30.5","16.9","59.0","1.7","206.0","","","","0.0","","34.741325","33.327100","","12/06/2025 17:00:00"
"Zygi","28.3","30.5","16.9","65.0","1.4","222.0","","","","0.0","","34.741325","33.327100","","12/06/2025 18:00:00"
